grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14 ", 48, 48, 76332, 0.011582, 6.59057e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11 ", 54, 48, 223185, 0.035605, 6.26836e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6 ", 58, 60, 2346568, 0.337998, 6.94255e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13 ", 55, 55, 37808, 0.007175, 5.26941e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5 ", 68, 72, 39884, 0.006715, 5.93954e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11 ", 50, 45, 3542072, 0.520376, 6.80676e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11 ", 59, 61, 29179, 0.006231, 4.68288e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7 ", 56, 51, 229482, 0.037948, 6.04728e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4 ", 63, 61, 953580, 0.153312, 6.21987e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15 ", 48, 45, 50060, 0.010340, 4.84139e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7 ", 59, 61, 22424, 0.004957, 4.52370e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2 ", 61, 64, 80058, 0.016029, 4.99457e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2 ", 59, 61, 34003, 0.005320, 6.39154e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0 ", 68, 63, 275548, 0.042804, 6.43744e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8 ", 51, 49, 754257, 0.110626, 6.81808e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15 ", 51, 55, 4378, 0.000790, 5.54177e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15 ", 46, 48, 81144, 0.013288, 6.10656e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15 ", 56, 54, 84204, 0.012776, 6.59080e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3 ", 54, 54, 52676, 0.008009, 6.57710e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12 ", 56, 57, 337118, 0.047495, 7.09797e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4 ", 71, 67, 344415, 0.051740, 6.65665e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4 ", 63, 64, 218281, 0.034112, 6.39895e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15 ", 52, 51, 384752, 0.057936, 6.64098e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1 ", 57, 55, 1179824, 0.172509, 6.83920e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2 ", 63, 67, 1317, 0.000411, 3.20438e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14 ", 54, 51, 37124, 0.008034, 4.62086e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10 ", 53, 52, 1127669, 0.163450, 6.89917e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3 ", 50, 51, 19199, 0.003514, 5.46357e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6 ", 56, 54, 71773, 0.011025, 6.51002e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8 ", 61, 58, 155589, 0.024188, 6.43249e+06
X, WIDA*, PDB5+5+5, 1.500000, 15puzzle, "11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15 ", 54, 60, 54151, 0.013620, 3.97584e+06
