grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5 ", 88, 96, 2073, 0.000418, 4.95933e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13 ", 67, 74, 15661, 0.002728, 5.74084e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11 ", 58, 60, 115064, 0.016748, 6.87031e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4 ", 73, 82, 15258, 0.003240, 4.70926e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7 ", 64, 68, 4623, 0.000858, 5.38811e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11 ", 77, 82, 1339, 0.000263, 5.09125e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7 ", 71, 82, 4868, 0.000861, 5.65389e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15 ", 56, 60, 47638, 0.008301, 5.73883e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2 ", 77, 86, 73902, 0.011607, 6.36702e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2 ", 71, 82, 27324, 0.004054, 6.74001e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8 ", 57, 66, 81949, 0.011978, 6.84163e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0 ", 76, 84, 132113, 0.020295, 6.50963e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15 ", 54, 64, 10594, 0.002630, 4.02814e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15 ", 64, 72, 642, 0.000166, 3.86747e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15 ", 65, 74, 9648, 0.002248, 4.29181e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12 ", 68, 76, 3409, 0.000668, 5.10329e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4 ", 87, 90, 18660, 0.003645, 5.11934e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3 ", 64, 72, 5141, 0.000894, 5.75056e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15 ", 60, 68, 9922, 0.001656, 5.99155e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1 ", 69, 74, 18440, 0.002997, 6.15282e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4 ", 81, 86, 36415, 0.006374, 5.71305e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2 ", 85, 90, 20091, 0.003478, 5.77660e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14 ", 62, 68, 18221, 0.003046, 5.98194e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10 ", 63, 70, 15806, 0.002756, 5.73512e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3 ", 58, 68, 566, 0.000221, 2.56109e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6 ", 64, 72, 7966, 0.001397, 5.70222e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8 ", 73, 78, 1965, 0.000385, 5.10390e+06
X, WIDA*, PDB5+5+5, 2.000000, 15puzzle, "11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15 ", 70, 80, 19878, 0.003212, 6.18867e+06
