grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, IDA*, PDB5+5+5, 15puzzle, "12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6 ", 56, 40, 241426065, 33.693272, 7.16541e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5 ", 56, 48, 270757, 0.040491, 6.68684e+06
X, IDA*, PDB5+5+5, 15puzzle, "6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13 ", 49, 37, 1730694, 0.250819, 6.90017e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11 ", 48, 30, 27905056, 4.024461, 6.93386e+06
X, IDA*, PDB5+5+5, 15puzzle, "3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11 ", 53, 41, 3743048, 0.554859, 6.74594e+06
X, IDA*, PDB5+5+5, 15puzzle, "0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7 ", 54, 34, 6485094, 0.943742, 6.87168e+06
X, IDA*, PDB5+5+5, 15puzzle, "15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4 ", 57, 41, 48179764, 6.913429, 6.96901e+06
X, IDA*, PDB5+5+5, 15puzzle, "0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15 ", 42, 30, 106966, 0.016747, 6.38717e+06
X, IDA*, PDB5+5+5, 15puzzle, "13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7 ", 53, 41, 745034, 0.109638, 6.79540e+06
X, IDA*, PDB5+5+5, 15puzzle, "11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2 ", 57, 43, 21458513, 3.066410, 6.99793e+06
X, IDA*, PDB5+5+5, 15puzzle, "15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2 ", 55, 41, 13326800, 1.977925, 6.73777e+06
X, IDA*, PDB5+5+5, 15puzzle, "12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8 ", 49, 33, 20067776, 2.948742, 6.80554e+06
X, IDA*, PDB5+5+5, 15puzzle, "14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0 ", 62, 42, 168961472, 24.304817, 6.95177e+06
X, IDA*, PDB5+5+5, 15puzzle, "6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15 ", 45, 37, 90682, 0.014103, 6.42998e+06
X, IDA*, PDB5+5+5, 15puzzle, "4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15 ", 44, 32, 1075718, 0.158563, 6.78417e+06
X, IDA*, PDB5+5+5, 15puzzle, "9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15 ", 52, 36, 5795649, 0.830755, 6.97636e+06
X, IDA*, PDB5+5+5, 15puzzle, "5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3 ", 50, 36, 1610317, 0.243559, 6.61161e+06
X, IDA*, PDB5+5+5, 15puzzle, "11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12 ", 54, 38, 30741906, 4.470823, 6.87612e+06
X, IDA*, PDB5+5+5, 15puzzle, "15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4 ", 65, 45, 563448168, 83.231776, 6.76963e+06
X, IDA*, PDB5+5+5, 15puzzle, "13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15 ", 46, 34, 1068391, 0.169551, 6.30130e+06
X, IDA*, PDB5+5+5, 15puzzle, "9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4 ", 57, 43, 88760057, 13.270168, 6.68869e+06
X, IDA*, PDB5+5+5, 15puzzle, "3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1 ", 57, 37, 350514056, 52.093128, 6.72860e+06
X, IDA*, PDB5+5+5, 15puzzle, "5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2 ", 53, 45, 562954, 0.090089, 6.24887e+06
X, IDA*, PDB5+5+5, 15puzzle, "4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14 ", 50, 34, 1640637, 0.248495, 6.60229e+06
X, IDA*, PDB5+5+5, 15puzzle, "1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10 ", 49, 35, 4491350, 0.696504, 6.44842e+06
X, IDA*, PDB5+5+5, 15puzzle, "9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3 ", 44, 34, 90582, 0.016449, 5.50684e+06
X, IDA*, PDB5+5+5, 15puzzle, "0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6 ", 54, 36, 31225769, 4.811033, 6.49045e+06
X, IDA*, PDB5+5+5, 15puzzle, "7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8 ", 57, 39, 41678532, 6.266245, 6.65128e+06
X, IDA*, PDB5+5+5, 15puzzle, "11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15 ", 54, 40, 6172524, 0.927973, 6.65162e+06
